POSTCODE,2012 YoY fullval,2013 YoY fullval,2014 YoY fullval,2015 YoY fullval,2016 YoY fullval,2017 YoY fullval,2018 YoY fullval,2019 YoY fullval
11201,-0.65,-9.96,-2.6,6.12,8.24,15.88,20.38,18.68
11203,-1.5,-1.53,0.26,5.93,3.65,7.51,8.52,12.07
11204,-3.82,2.06,1.87,8.19,6.97,13.85,9.85,11.08
11205,-17.33,-11.47,-5.69,-9.85,6.05,6.83,10.2,4.04
11206,-4.36,-19.84,-4.35,4.9,16.08,18.13,13.82,6.13
11207,-8.64,-2.74,-1.28,1.55,7.65,14.34,3.94,11.67
11208,-9.59,-3.61,-2.0,2.3,5.49,11.82,9.3,12.19
11209,0.0,4.99,1.9,6.13,6.02,13.14,10.56,9.18
11210,-0.38,1.06,1.23,7.32,5.07,10.65,10.98,8.81
11211,-33.45,-4.89,101.85,9.46,13.79,14.92,14.56,7.28
11212,-14.97,-11.47,1.2,0.89,0.29,2.94,11.43,14.87
11213,-11.25,-0.58,1.18,6.2,12.41,21.27,16.87,16.15
11214,3.04,2.13,-4.65,4.88,6.26,17.52,13.5,10.31
11215,-4.6,6.91,2.77,8.88,5.77,20.06,14.18,10.87
11216,-12.78,1.56,3.65,9.83,12.84,23.95,23.07,9.37
11217,-6.31,4.92,0.25,9.11,-4.33,16.71,12.86,2.94
11218,-6.68,0.62,1.85,8.35,7.56,15.1,13.57,10.26
11219,-4.24,3.15,1.74,6.86,7.22,13.72,8.55,8.08
11220,-4.68,8.28,1.27,8.81,5.78,10.57,12.2,7.93
11221,-8.0,-2.48,1.06,6.93,12.97,25.57,24.93,12.75
11222,-1.38,1.71,-3.22,4.11,5.62,26.47,21.62,16.74
11223,-0.65,4.12,-4.11,6.6,7.28,16.16,13.79,9.06
11224,9.78,3.74,-15.24,0.63,0.03,31.49,7.65,11.7
11225,-4.15,1.56,2.56,8.14,12.44,13.93,16.19,21.47
11226,-6.96,4.16,2.79,2.33,6.26,16.34,14.2,8.87
11227,7.83,-31.6,-4.18,-9.6,52.52,20.04,25.04,-100.0
11228,2.64,3.33,2.13,6.1,7.62,11.53,11.5,8.59
11229,2.39,2.33,-6.84,4.18,3.23,19.92,12.03,8.62
11230,-3.46,2.3,1.12,5.27,5.53,15.23,9.64,12.55
11231,-19.41,4.67,1.35,5.34,-5.45,4.16,15.52,17.65
11232,-8.63,4.72,-1.0,5.99,11.06,19.34,14.65,7.54
11233,-7.29,-2.69,2.13,7.92,7.92,13.24,20.22,14.98
11234,1.27,0.86,-5.12,3.67,2.53,12.26,11.11,7.29
11235,-0.97,3.14,-15.4,1.35,-0.22,23.11,17.15,8.78
11236,-3.23,-1.34,-9.03,1.74,2.44,20.24,5.35,9.02
11237,-4.74,-0.65,-3.49,0.68,16.14,21.33,14.4,11.68
11238,-18.06,8.67,0.18,8.61,7.84,11.34,-1.97,10.46
11239,11.8,0.59,-5.1,11.21,-7.46,9.55,26.98,12.66
11242,2.12,3.58,-7.82,0.0,0.0,6.11,34.94,5.92
11243,-19.62,-10.58,-100.0,0,0,0,0,0
11249,0,0,0,1.17,22.29,7.72,18.03,6.56
11251,0,0,0,0,0,0,35.0,7.93
11416,-16.01,-0.51,3.81,18.95,2.57,12.53,-14.96,20.84
33803,0.0,-5.05,-12.2,0.0,0.0,-100.0,0,0
